Rounds,Avg_Loss
13,177.99636982762536
17,149.9961554453923
12,162.88252330961683
11,191.59496347294296
14,181.2808777945382
16,141.9177853331274
9,158.49108010369378
10,152.09671642905786
17,167.0621399307251
13,169.65041438738504
13,156.868884957355
12,159.3607620976188
15,178.36637269533597
11,183.3984040260315
12,176.16032972335816
18,151.88555625632958
9,188.9468077582282
10,163.87908964157106
10,174.42154991932404
11,150.39716534387497
12,189.765933627174
14,165.70467681884764
11,168.67946959830618
14,152.7010356729681
11,132.52093868720823
16,179.631860265192
11,170.52703380584717
12,153.9886534100487
13,172.05248646302655
13,160.89818768623547
14,158.42802613714466
19,167.36638340197112
10,182.72693536220453
8,175.88262176513672
12,178.47494546990646
10,158.22884286533701
18,163.31266566685267
11,176.8779047557286
18,158.41893583933512
12,160.5192482288067
15,167.86793960571288
14,150.95269812789618
10,146.23493518829346
15,170.64321128358233
10,164.56705127618253
18,180.71903021582241
19,181.14862645467122
8,182.1667722429548
12,175.32538477579752
13,170.77452060788175
12,164.99612641945865
11,163.2488860105857
13,154.35431887308758
10,186.33558411068387
14,153.63297879254375
14,161.62767642477283
13,177.93717142740886
11,162.7482012724265
21,178.6871838488821
16,167.30585506984167
13,147.94638288021088
10,178.02413989336063
9,178.789910197258
16,187.19312629699706
10,176.92367699271753
18,185.71397000267393
12,187.87943597273394
15,171.48458073185938
14,163.41617846488953
17,164.8575683089922
11,166.74364862209413
13,154.71644426428753
11,182.9562693930961
14,180.35314017401802
16,149.77708282470704
12,162.47528728908964
14,171.54000600179037
9,175.06880780812855
10,162.45045693715414
12,190.76709948087992
14,177.15355315298405
10,177.49328953511005
13,181.5134733246594
14,163.61560626983643
10,177.33827460439582
11,148.0588514103609
15,156.71918266296387
14,171.10214784870976
12,202.56280457346062
10,144.14508379422702
14,170.2008674343427
13,191.765053106814
22,164.53076592044553
10,160.6319682781513
13,152.86376039505004
15,144.63051637013754
16,176.99552950942726
14,179.66445640895677
9,162.80951670596474
15,163.28414834220453
11,133.75761783123016
9,183.69954710006715
9,137.30266183965347
13,202.45565261011538
11,170.23894002220848
11,190.55502168522324
13,177.33805309642446
16,144.74380410886278
15,159.95230207256242
14,155.60662822334135
17,174.95688791628237
20,168.84730232123172
13,142.3566903670629
10,150.26083537510462
11,156.8681923389435
15,164.39682571411132
14,159.73853036190602
11,160.30992059707643
18,177.0806532234981
12,150.63386561075848
15,137.48325003829657
10,181.5623599158393
9,165.5892911968809
13,165.62145492008753
12,208.63005747113908
9,155.02306673603672
13,154.05223478589738
10,177.96760816831846
12,146.6245174797214
9,156.07953283521863
12,192.46808366997297
12,169.5293506054168
14,160.2342048058143
13,144.23392928914822
11,155.071810192532
10,168.0401158216523
11,186.85369217701447
11,170.49747637698525
12,166.88052090731534
10,145.3580002906995
13,146.9039585279382
11,147.7635619163513
12,145.2455356846685
13,165.44222388156624
10,169.90910755504262
11,150.91805961804513
9,146.84825772047043
9,140.34658930036755
13,182.78603672981262
13,150.44872338431222
10,161.6906342642648
11,149.35359583145532
10,172.7943531427628
13,148.00568441911176
11,175.94243478775024
12,177.31495917470832
11,178.77537778528725
15,135.23080789125882
8,156.0188915946267
12,160.26830759915438
13,157.1789082845052
11,160.47643413100133
9,172.8943386077881
13,164.3323762771931
10,188.62070236206054
7,186.01605746325325
14,147.1893667432997
9,156.695424192092
12,170.96931855574897
8,164.37859773635864
9,140.01322817121232
15,137.88163256177714
11,165.71388300453745
10,153.45886087417603
10,192.08703633358604
9,171.31556701660156
10,173.41427656320425
17,140.2666229248047
9,171.3684478558992
14,165.9782990848317
15,147.95813045696337
10,152.21147891453333
11,183.5078010559082
11,149.63955720265707
12,189.06184978874361
11,187.22467639229515
13,174.51119558016458
13,154.65460138735563
13,172.96567751013714
13,174.65668349570416
16,174.64443002898116
11,179.73104152679443
10,178.61806367572984
10,162.97052087783814
8,164.67139931881067
12,165.72533383576766
15,165.68737959861755
